id_measure_nocohort,measure_type,equipment_end_use,description,building_type,equipment_applicability,season,timestep_between_calls,call_limit_peak_week,call_limit_peak_day,precharge_shape,dr_shape,rebound_shape,notes
coolsetback_cooling_res_apt,coolsetback,cooling,"smart tstat setback, cooling",apt,"config_hvac_res_007,config_hvac_res_008,config_hvac_res_009, config_hvac_res_010, config_hvac_res_011, config_hvac_res_012, config_hvac_res_014, config_hvac_res_015, config_hvac_res_016, config_hvac_res_017, config_hvac_res_018, config_hvac_res_019, config_hvac_res_020, config_hvac_res_021, config_hvac_res_022, config_hvac_res_023",summer,20,3,1,,"-0.12,-0.14,0.29,0.23,-0.04",,Load impact digitize from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
coolsetback_cooling_res_mob,coolsetback,cooling,"smart tstat setback, cooling",mob,"config_hvac_res_007,config_hvac_res_008,config_hvac_res_009, config_hvac_res_010, config_hvac_res_011, config_hvac_res_012, config_hvac_res_014, config_hvac_res_015, config_hvac_res_016, config_hvac_res_017, config_hvac_res_018, config_hvac_res_019, config_hvac_res_020, config_hvac_res_021, config_hvac_res_022, config_hvac_res_023",summer,20,3,1,,"-0.12,-0.14,0.28,0.22,-0.04",,Load impact digitize from: https://opiniondynamics.com/optimizing-smart-thermostat-demand-response-load-impacts/
bes_other_res_sfd,bes,appliances,battery energy storage,sfd,"config_appliances_res_001",all,0,5,1,"-3,-3,-3,-3","2.7,2.7,2.7,2.7",,Using 80% of a Tesla Powerwall 3 (13.5kWh) over 4 hour. 89% RTE from Tesla Powerwall 3
bes_other_res_row,bes,appliances,battery energy storage,row,"config_appliances_res_001",all,0,5,1,"-3,-3,-3,-3","2.7,2.7,2.7,2.7",,Using 80% of a Tesla Powerwall 3 (13.5kWh) over 4 hour. 89% RTE from Tesla Powerwall 3
bes_other_res_apt,bes,appliances,battery energy storage,apt,"config_appliances_res_001",all,0,5,1,"-3,-3,-3,-3","2.7,2.7,2.7,2.7",,Using 80% of a Tesla Powerwall 3 (13.5kWh) over 4 hour. 89% RTE from Tesla Powerwall 3
bes_other_res_mob,bes,appliances,battery energy storage,mob,"config_appliances_res_001",all,0,5,1,"-3,-3,-3,-3","2.7,2.7,2.7,2.7",,Using 80% of a Tesla Powerwall 3 (13.5kWh) over 4 hour. 89% RTE from Tesla Powerwall 3
heatsetback_heating_com_largeoffice,heatsetback,heating,"smart tstat setback, heating",largeoffice,"config_hvac_com_001",winter,20,3,1,,"-144.13,-168.16,336.31,264.25,-48.04",,Adapted from: https://www.sciencedirect.com/science/article/pii/S0378778822007708
heatsetback_heating_com_mediumoffice,heatsetback,heating,"smart tstat setback, heating",mediumoffice,"config_hvac_com_001",winter,20,3,1,,"-27.32,-31.88,63.76,50.1,-9.11",,Adapted from: https://www.sciencedirect.com/science/article/pii/S0378778822007708
heatsetback_heating_com_smalloffice,heatsetback,heating,"smart tstat setback, heating",smalloffice,"config_hvac_com_001",winter,20,3,1,,"-2.29,-2.67,5.34,4.2,-0.76",,Adapted from: https://www.sciencedirect.com/science/article/pii/S0378778822007708
coolsetback_cooling_com_largeoffice,coolsetback,cooling,"smart tstat setback, cooling",largeoffice,"config_hvac_com_001,config_hvac_com_002,config_hvac_com_003,config_hvac_com_004,config_hvac_com_005",summer,20,3,1,,"-48.04,-56.05,112.1,88.08,-16.01",,Adapted from: https://www.sciencedirect.com/science/article/pii/S0378778822007708
coolsetback_cooling_com_mediumoffice,coolsetback,cooling,"smart tstat setback, cooling",mediumoffice,"config_hvac_com_001,config_hvac_com_002,config_hvac_com_003,config_hvac_com_004,config_hvac_com_005",summer,20,3,1,,"-9.11,-10.63,21.25,16.7,-3.04",,Adapted from: https://www.sciencedirect.com/science/article/pii/S0378778822007708
coolsetback_cooling_com_smalloffice,coolsetback,cooling,"smart tstat setback, cooling",smalloffice,"config_hvac_com_001,config_hvac_com_002,config_hvac_com_003,config_hvac_com_004,config_hvac_com_005",summer,20,3,1,,"-0.76,-0.89,1.78,1.4,-0.25",,Adapted from: https://www.sciencedirect.com/science/article/pii/S0378778822007708
